c = 720537.833271 
Psi_rr = -0.000046, Psi_rz = -0.000072, D = -0.000000, Psi_zz = 0.001061, Psi_z = -0.001249, Psi_r = -0.000423, dr = -9.966843, dz = 0.500655
Psi_rr = -0.000042, Psi_rz = -0.000072, D = -0.000000, Psi_zz = 0.001075, Psi_z = -0.001296, Psi_r = -0.000417, dr = -10.696510, dz = 0.486215
Psi_rr = -0.000038, Psi_rz = -0.000073, D = -0.000000, Psi_zz = 0.001089, Psi_z = -0.001344, Psi_r = -0.000411, dr = -11.554539, dz = 0.463622
Psi_rr = -0.000035, Psi_rz = -0.000073, D = -0.000000, Psi_zz = 0.001103, Psi_z = -0.001392, Psi_r = -0.000404, dr = -12.579026, dz = 0.430619
Psi_rr = -0.000031, Psi_rz = -0.000073, D = -0.000000, Psi_zz = 0.001117, Psi_z = -0.001440, Psi_r = -0.000397, dr = -13.824868, dz = 0.383944
Psi_rr = -0.000027, Psi_rz = -0.000073, D = -0.000000, Psi_zz = 0.001131, Psi_z = -0.001488, Psi_r = -0.000390, dr = -15.374165, dz = 0.318700
Psi_rr = -0.000023, Psi_rz = -0.000074, D = -0.000000, Psi_zz = 0.001144, Psi_z = -0.001536, Psi_r = -0.000383, dr = -17.355447, dz = 0.227215
Psi_rr = -0.000019, Psi_rz = -0.000074, D = -0.000000, Psi_zz = 0.001158, Psi_z = -0.001584, Psi_r = -0.000376, dr = -19.981882, dz = 0.096745
Psi_rr = -0.000015, Psi_rz = -0.000074, D = -0.000000, Psi_zz = 0.001171, Psi_z = -0.001632, Psi_r = -0.000368, dr = -23.634665, dz = -0.095511
Psi_rr = -0.000011, Psi_rz = -0.000074, D = -0.000000, Psi_zz = 0.001184, Psi_z = -0.001680, Psi_r = -0.000360, dr = -29.069171, dz = -0.394755
Psi_rr = -0.000007, Psi_rz = -0.000074, D = -0.000000, Psi_zz = 0.001197, Psi_z = -0.001728, Psi_r = -0.000352, dr = -38.023349, dz = -0.905005
Psi_rr = -0.000004, Psi_rz = -0.000074, D = -0.000000, Psi_zz = 0.001210, Psi_z = -0.001776, Psi_r = -0.000343, dr = -55.585158, dz = -1.930813
Psi_rr = 0.000000, Psi_rz = -0.000074, D = -0.000000, Psi_zz = 0.001222, Psi_z = -0.001825, Psi_r = -0.000335, dr = -105.771474, dz = -4.909810
Psi_rr = -0.000038, Psi_rz = 0.000027, D = -0.000000, Psi_zz = -0.000018, Psi_z = 0.000064, Psi_r = -0.000762, dr = 212.827161, dz = 328.638838
Psi_rr = 0.000004, Psi_rz = -0.000074, D = -0.000000, Psi_zz = 0.001235, Psi_z = -0.001873, Psi_r = -0.000326, dr = -1490.506879, dz = -87.774923
Psi_rr = -0.000033, Psi_rz = 0.000027, D = -0.000000, Psi_zz = -0.000018, Psi_z = 0.000063, Psi_r = -0.000753, dr = 79.101366, dz = 123.504824
Psi_rr = 0.000008, Psi_rz = -0.000074, D = 0.000000, Psi_zz = 0.001247, Psi_z = -0.001921, Psi_r = -0.000317, dr = 119.297703, dz = 8.612239
Psi_rr = -0.000027, Psi_rz = 0.000027, D = -0.000000, Psi_zz = -0.000018, Psi_z = 0.000063, Psi_r = -0.000743, dr = 48.076085, dz = 75.951420
Psi_rr = 0.000012, Psi_rz = -0.000074, D = 0.000000, Psi_zz = 0.001260, Psi_z = -0.001969, Psi_r = -0.000308, dr = 56.400600, dz = 4.871564
